"Statistic Label","Year","Age Group","Sex","Education Attainment Level","NUTS 2 Region","UNIT","VALUE"
"Annual employment rate","2022","25 - 29 years","Male","Primary and lower secondary education (Levels 1-2)","Southern","%",""
"Annual employment rate","2022","25 - 29 years","Male","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%",""
"Annual employment rate","2022","25 - 29 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","76.5"
"Annual employment rate","2022","25 - 29 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%",""
"Annual employment rate","2022","25 - 29 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","76"
"Annual employment rate","2022","25 - 29 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","73.8"
"Annual employment rate","2022","25 - 29 years","Male","Tertiary education (Levels 5-8)","Ireland","%","92.9"
"Annual employment rate","2022","25 - 29 years","Male","Tertiary education (Levels 5-8)","Northern and Western","%",""
"Annual employment rate","2022","25 - 29 years","Male","Tertiary education (Levels 5-8)","Southern","%","93.4"
"Annual employment rate","2022","25 - 29 years","Male","Tertiary education (Levels 5-8)","Eastern and Midland","%","93.6"
"Annual employment rate","2022","25 - 29 years","Male","Level of education - not stated","Ireland","%",""
"Annual employment rate","2022","25 - 29 years","Male","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2022","25 - 29 years","Male","Level of education - not stated","Southern","%",""
"Annual employment rate","2022","25 - 29 years","Male","Level of education - not stated","Eastern and Midland","%",""
"Annual employment rate","2022","25 - 29 years","Female","Levels of Education (Levels  0-8)","Ireland","%","80.1"
"Annual employment rate","2022","25 - 29 years","Female","Levels of Education (Levels  0-8)","Northern and Western","%","79.9"
"Annual employment rate","2022","25 - 29 years","Female","Levels of Education (Levels  0-8)","Southern","%","80.6"
"Annual employment rate","2022","25 - 29 years","Female","Levels of Education (Levels  0-8)","Eastern and Midland","%","79.8"
"Annual employment rate","2022","25 - 29 years","Female","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2022","25 - 29 years","Female","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2022","25 - 29 years","Female","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2022","25 - 29 years","Female","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2022","25 - 29 years","Female","Primary and lower secondary education (Levels 1-2)","Ireland","%",""
"Annual employment rate","2022","25 - 29 years","Female","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
"Annual employment rate","2022","25 - 29 years","Female","Primary and lower secondary education (Levels 1-2)","Southern","%",""
"Annual employment rate","2022","25 - 29 years","Female","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%",""
"Annual employment rate","2022","25 - 29 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","67.9"
"Annual employment rate","2022","25 - 29 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%",""
"Annual employment rate","2022","25 - 29 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%",""
"Annual employment rate","2022","25 - 29 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","64.3"
"Annual employment rate","2022","25 - 29 years","Female","Tertiary education (Levels 5-8)","Ireland","%","89.7"
"Annual employment rate","2022","25 - 29 years","Female","Tertiary education (Levels 5-8)","Northern and Western","%",""
"Annual employment rate","2022","25 - 29 years","Female","Tertiary education (Levels 5-8)","Southern","%","90.6"
"Annual employment rate","2022","25 - 29 years","Female","Tertiary education (Levels 5-8)","Eastern and Midland","%","89.3"
"Annual employment rate","2022","25 - 29 years","Female","Level of education - not stated","Ireland","%",""
"Annual employment rate","2022","25 - 29 years","Female","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2022","25 - 29 years","Female","Level of education - not stated","Southern","%",""
"Annual employment rate","2022","25 - 29 years","Female","Level of education - not stated","Eastern and Midland","%",""
"Annual employment rate","2022","30 - 34 years","Both sexes","Levels of Education (Levels  0-8)","Ireland","%","82.8"
"Annual employment rate","2022","30 - 34 years","Both sexes","Levels of Education (Levels  0-8)","Northern and Western","%","82.3"
"Annual employment rate","2022","30 - 34 years","Both sexes","Levels of Education (Levels  0-8)","Southern","%","80.3"
"Annual employment rate","2022","30 - 34 years","Both sexes","Levels of Education (Levels  0-8)","Eastern and Midland","%","84.2"
"Annual employment rate","2022","30 - 34 years","Both sexes","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2022","30 - 34 years","Both sexes","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2022","30 - 34 years","Both sexes","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2022","30 - 34 years","Both sexes","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2022","30 - 34 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Ireland","%",""
"Annual employment rate","2022","30 - 34 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
"Annual employment rate","2022","30 - 34 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Southern","%",""
"Annual employment rate","2022","30 - 34 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%",""
"Annual employment rate","2022","30 - 34 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","74.2"
"Annual employment rate","2022","30 - 34 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%",""
"Annual employment rate","2022","30 - 34 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","69.5"
"Annual employment rate","2022","30 - 34 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","78.5"
"Annual employment rate","2022","30 - 34 years","Both sexes","Tertiary education (Levels 5-8)","Ireland","%","90"
"Annual employment rate","2022","30 - 34 years","Both sexes","Tertiary education (Levels 5-8)","Northern and Western","%","94.6"
"Annual employment rate","2022","30 - 34 years","Both sexes","Tertiary education (Levels 5-8)","Southern","%","89.4"
"Annual employment rate","2022","30 - 34 years","Both sexes","Tertiary education (Levels 5-8)","Eastern and Midland","%","89"
"Annual employment rate","2022","30 - 34 years","Both sexes","Level of education - not stated","Ireland","%",""
"Annual employment rate","2022","30 - 34 years","Both sexes","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2022","30 - 34 years","Both sexes","Level of education - not stated","Southern","%",""
"Annual employment rate","2022","30 - 34 years","Both sexes","Level of education - not stated","Eastern and Midland","%",""
"Annual employment rate","2022","30 - 34 years","Male","Levels of Education (Levels  0-8)","Ireland","%","87.5"
"Annual employment rate","2022","30 - 34 years","Male","Levels of Education (Levels  0-8)","Northern and Western","%","81.5"
"Annual employment rate","2022","30 - 34 years","Male","Levels of Education (Levels  0-8)","Southern","%","88.7"
"Annual employment rate","2022","30 - 34 years","Male","Levels of Education (Levels  0-8)","Eastern and Midland","%","88.5"
"Annual employment rate","2022","30 - 34 years","Male","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2022","30 - 34 years","Male","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2022","30 - 34 years","Male","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2022","30 - 34 years","Male","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2022","30 - 34 years","Male","Primary and lower secondary education (Levels 1-2)","Ireland","%",""
"Annual employment rate","2022","30 - 34 years","Male","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
"Annual employment rate","2022","30 - 34 years","Male","Primary and lower secondary education (Levels 1-2)","Southern","%",""
"Annual employment rate","2022","30 - 34 years","Male","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%",""
"Annual employment rate","2022","30 - 34 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","85.3"
"Annual employment rate","2022","30 - 34 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%",""
"Annual employment rate","2022","30 - 34 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","88"
"Annual employment rate","2022","30 - 34 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","86.4"
"Annual employment rate","2022","30 - 34 years","Male","Tertiary education (Levels 5-8)","Ireland","%","92.2"
"Annual employment rate","2022","30 - 34 years","Male","Tertiary education (Levels 5-8)","Northern and Western","%","96.9"
"Annual employment rate","2022","30 - 34 years","Male","Tertiary education (Levels 5-8)","Southern","%","93.8"
"Annual employment rate","2022","30 - 34 years","Male","Tertiary education (Levels 5-8)","Eastern and Midland","%","90.2"
"Annual employment rate","2022","30 - 34 years","Male","Level of education - not stated","Ireland","%",""
"Annual employment rate","2022","30 - 34 years","Male","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2022","30 - 34 years","Male","Level of education - not stated","Southern","%",""
"Annual employment rate","2022","30 - 34 years","Male","Level of education - not stated","Eastern and Midland","%",""
"Annual employment rate","2022","30 - 34 years","Female","Levels of Education (Levels  0-8)","Ireland","%","78.3"
"Annual employment rate","2022","30 - 34 years","Female","Levels of Education (Levels  0-8)","Northern and Western","%","83"
"Annual employment rate","2022","30 - 34 years","Female","Levels of Education (Levels  0-8)","Southern","%","72.4"
"Annual employment rate","2022","30 - 34 years","Female","Levels of Education (Levels  0-8)","Eastern and Midland","%","80.2"
"Annual employment rate","2022","30 - 34 years","Female","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2022","30 - 34 years","Female","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2022","30 - 34 years","Female","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2022","30 - 34 years","Female","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2022","30 - 34 years","Female","Primary and lower secondary education (Levels 1-2)","Ireland","%",""
"Annual employment rate","2022","30 - 34 years","Female","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
"Annual employment rate","2022","30 - 34 years","Female","Primary and lower secondary education (Levels 1-2)","Southern","%",""
"Annual employment rate","2022","30 - 34 years","Female","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%",""
"Annual employment rate","2022","30 - 34 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","63.7"
"Annual employment rate","2022","30 - 34 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%",""
"Annual employment rate","2022","30 - 34 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%",""
"Annual employment rate","2022","30 - 34 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","71.7"
"Annual employment rate","2022","30 - 34 years","Female","Tertiary education (Levels 5-8)","Ireland","%","88"
"Annual employment rate","2022","30 - 34 years","Female","Tertiary education (Levels 5-8)","Northern and Western","%","92.5"
"Annual employment rate","2022","30 - 34 years","Female","Tertiary education (Levels 5-8)","Southern","%","86.1"
"Annual employment rate","2022","30 - 34 years","Female","Tertiary education (Levels 5-8)","Eastern and Midland","%","87.9"
"Annual employment rate","2022","30 - 34 years","Female","Level of education - not stated","Ireland","%",""
"Annual employment rate","2022","30 - 34 years","Female","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2022","30 - 34 years","Female","Level of education - not stated","Southern","%",""
"Annual employment rate","2022","30 - 34 years","Female","Level of education - not stated","Eastern and Midland","%",""
"Annual employment rate","2022","35 - 39 years","Both sexes","Levels of Education (Levels  0-8)","Ireland","%","83.3"
"Annual employment rate","2022","35 - 39 years","Both sexes","Levels of Education (Levels  0-8)","Northern and Western","%","87.2"
"Annual employment rate","2022","35 - 39 years","Both sexes","Levels of Education (Levels  0-8)","Southern","%","80.9"
"Annual employment rate","2022","35 - 39 years","Both sexes","Levels of Education (Levels  0-8)","Eastern and Midland","%","83.6"
"Annual employment rate","2022","35 - 39 years","Both sexes","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2022","35 - 39 years","Both sexes","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2022","35 - 39 years","Both sexes","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2022","35 - 39 years","Both sexes","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2022","35 - 39 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Ireland","%","58.7"
"Annual employment rate","2022","35 - 39 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
"Annual employment rate","2022","35 - 39 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Southern","%",""
"Annual employment rate","2022","35 - 39 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%",""
"Annual employment rate","2022","35 - 39 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","79"
"Annual employment rate","2022","35 - 39 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","88.3"
"Annual employment rate","2022","35 - 39 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","73.5"
"Annual employment rate","2022","35 - 39 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","79"
"Annual employment rate","2022","35 - 39 years","Both sexes","Tertiary education (Levels 5-8)","Ireland","%","88.7"
"Annual employment rate","2022","35 - 39 years","Both sexes","Tertiary education (Levels 5-8)","Northern and Western","%","89"
"Annual employment rate","2022","35 - 39 years","Both sexes","Tertiary education (Levels 5-8)","Southern","%","88.1"
"Annual employment rate","2022","35 - 39 years","Both sexes","Tertiary education (Levels 5-8)","Eastern and Midland","%","89"
"Annual employment rate","2022","35 - 39 years","Both sexes","Level of education - not stated","Ireland","%",""
"Annual employment rate","2022","35 - 39 years","Both sexes","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2022","35 - 39 years","Both sexes","Level of education - not stated","Southern","%",""
"Annual employment rate","2022","35 - 39 years","Both sexes","Level of education - not stated","Eastern and Midland","%",""
"Annual employment rate","2022","35 - 39 years","Male","Levels of Education (Levels  0-8)","Ireland","%","91"
"Annual employment rate","2022","35 - 39 years","Male","Levels of Education (Levels  0-8)","Northern and Western","%","95"
"Annual employment rate","2022","35 - 39 years","Male","Levels of Education (Levels  0-8)","Southern","%","90.4"
"Annual employment rate","2022","35 - 39 years","Male","Levels of Education (Levels  0-8)","Eastern and Midland","%","90.2"
"Annual employment rate","2022","35 - 39 years","Male","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2022","35 - 39 years","Male","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2022","35 - 39 years","Male","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2022","35 - 39 years","Male","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2022","35 - 39 years","Male","Primary and lower secondary education (Levels 1-2)","Ireland","%","75.3"
"Annual employment rate","2022","35 - 39 years","Male","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
"Annual employment rate","2022","35 - 39 years","Male","Primary and lower secondary education (Levels 1-2)","Southern","%",""
"Annual employment rate","2022","35 - 39 years","Male","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%",""
"Annual employment rate","2022","35 - 39 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","90"
"Annual employment rate","2022","35 - 39 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%",""
"Annual employment rate","2022","35 - 39 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","87.1"
"Annual employment rate","2022","35 - 39 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","91.9"
"Annual employment rate","2022","35 - 39 years","Male","Tertiary education (Levels 5-8)","Ireland","%","94.9"
"Annual employment rate","2022","35 - 39 years","Male","Tertiary education (Levels 5-8)","Northern and Western","%","100"
"Annual employment rate","2022","35 - 39 years","Male","Tertiary education (Levels 5-8)","Southern","%","94.3"
"Annual employment rate","2022","35 - 39 years","Male","Tertiary education (Levels 5-8)","Eastern and Midland","%","93.9"
"Annual employment rate","2022","35 - 39 years","Male","Level of education - not stated","Ireland","%",""
"Annual employment rate","2022","35 - 39 years","Male","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2022","35 - 39 years","Male","Level of education - not stated","Southern","%",""
"Annual employment rate","2022","35 - 39 years","Male","Level of education - not stated","Eastern and Midland","%",""
"Annual employment rate","2022","35 - 39 years","Female","Levels of Education (Levels  0-8)","Ireland","%","76.3"
"Annual employment rate","2022","35 - 39 years","Female","Levels of Education (Levels  0-8)","Northern and Western","%","80.3"
"Annual employment rate","2022","35 - 39 years","Female","Levels of Education (Levels  0-8)","Southern","%","72.4"
"Annual employment rate","2022","35 - 39 years","Female","Levels of Education (Levels  0-8)","Eastern and Midland","%","77.4"
"Annual employment rate","2022","35 - 39 years","Female","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2022","35 - 39 years","Female","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2022","35 - 39 years","Female","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2022","35 - 39 years","Female","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2022","35 - 39 years","Female","Primary and lower secondary education (Levels 1-2)","Ireland","%",""
"Annual employment rate","2022","35 - 39 years","Female","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
"Annual employment rate","2022","35 - 39 years","Female","Primary and lower secondary education (Levels 1-2)","Southern","%",""
"Annual employment rate","2022","35 - 39 years","Female","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%",""
"Annual employment rate","2022","35 - 39 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","67.1"
"Annual employment rate","2022","35 - 39 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%",""
"Annual employment rate","2022","35 - 39 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","59"
"Annual employment rate","2022","35 - 39 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","65"
"Annual employment rate","2022","35 - 39 years","Female","Tertiary education (Levels 5-8)","Ireland","%","84"
"Annual employment rate","2022","35 - 39 years","Female","Tertiary education (Levels 5-8)","Northern and Western","%","81.3"
"Annual employment rate","2022","35 - 39 years","Female","Tertiary education (Levels 5-8)","Southern","%","83.2"
"Annual employment rate","2022","35 - 39 years","Female","Tertiary education (Levels 5-8)","Eastern and Midland","%","85.1"
"Annual employment rate","2022","35 - 39 years","Female","Level of education - not stated","Ireland","%",""
"Annual employment rate","2022","35 - 39 years","Female","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2022","35 - 39 years","Female","Level of education - not stated","Southern","%",""
"Annual employment rate","2022","35 - 39 years","Female","Level of education - not stated","Eastern and Midland","%",""
"Annual employment rate","2022","40 - 44 years","Both sexes","Levels of Education (Levels  0-8)","Ireland","%","84.4"
"Annual employment rate","2022","40 - 44 years","Both sexes","Levels of Education (Levels  0-8)","Northern and Western","%","86.4"
"Annual employment rate","2022","40 - 44 years","Both sexes","Levels of Education (Levels  0-8)","Southern","%","83"
"Annual employment rate","2022","40 - 44 years","Both sexes","Levels of Education (Levels  0-8)","Eastern and Midland","%","84.6"
"Annual employment rate","2022","40 - 44 years","Both sexes","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2022","40 - 44 years","Both sexes","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2022","40 - 44 years","Both sexes","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2022","40 - 44 years","Both sexes","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2022","40 - 44 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Ireland","%","59.8"
"Annual employment rate","2022","40 - 44 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
"Annual employment rate","2022","40 - 44 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Southern","%",""
"Annual employment rate","2022","40 - 44 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","64.4"
"Annual employment rate","2022","40 - 44 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","79.8"
"Annual employment rate","2022","40 - 44 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","88"
"Annual employment rate","2022","40 - 44 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","78.5"
"Annual employment rate","2022","40 - 44 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","77.3"
"Annual employment rate","2022","40 - 44 years","Both sexes","Tertiary education (Levels 5-8)","Ireland","%","89.8"
"Annual employment rate","2022","40 - 44 years","Both sexes","Tertiary education (Levels 5-8)","Northern and Western","%","89.3"
"Annual employment rate","2022","40 - 44 years","Both sexes","Tertiary education (Levels 5-8)","Southern","%","89.8"
"Annual employment rate","2022","40 - 44 years","Both sexes","Tertiary education (Levels 5-8)","Eastern and Midland","%","89.9"
"Annual employment rate","2022","40 - 44 years","Both sexes","Level of education - not stated","Ireland","%",""
"Annual employment rate","2022","40 - 44 years","Both sexes","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2022","40 - 44 years","Both sexes","Level of education - not stated","Southern","%",""
"Annual employment rate","2022","40 - 44 years","Both sexes","Level of education - not stated","Eastern and Midland","%",""
"Annual employment rate","2022","40 - 44 years","Male","Levels of Education (Levels  0-8)","Ireland","%","91.1"
"Annual employment rate","2022","40 - 44 years","Male","Levels of Education (Levels  0-8)","Northern and Western","%","89.7"
"Annual employment rate","2022","40 - 44 years","Male","Levels of Education (Levels  0-8)","Southern","%","89.1"
"Annual employment rate","2022","40 - 44 years","Male","Levels of Education (Levels  0-8)","Eastern and Midland","%","92.9"
"Annual employment rate","2022","40 - 44 years","Male","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2022","40 - 44 years","Male","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2022","40 - 44 years","Male","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2022","40 - 44 years","Male","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2022","40 - 44 years","Male","Primary and lower secondary education (Levels 1-2)","Ireland","%","66"
"Annual employment rate","2022","40 - 44 years","Male","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
"Annual employment rate","2022","40 - 44 years","Male","Primary and lower secondary education (Levels 1-2)","Southern","%",""
"Annual employment rate","2022","40 - 44 years","Male","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%",""
"Annual employment rate","2022","40 - 44 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","89.9"
"Annual employment rate","2022","40 - 44 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","91.2"
"Annual employment rate","2022","40 - 44 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","86.8"
"Annual employment rate","2022","40 - 44 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","92"
"Annual employment rate","2022","40 - 44 years","Male","Tertiary education (Levels 5-8)","Ireland","%","95.8"
"Annual employment rate","2022","40 - 44 years","Male","Tertiary education (Levels 5-8)","Northern and Western","%","94.2"
"Annual employment rate","2022","40 - 44 years","Male","Tertiary education (Levels 5-8)","Southern","%","95.9"
"Annual employment rate","2022","40 - 44 years","Male","Tertiary education (Levels 5-8)","Eastern and Midland","%","96.2"
"Annual employment rate","2022","40 - 44 years","Male","Level of education - not stated","Ireland","%",""
"Annual employment rate","2022","40 - 44 years","Male","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2022","40 - 44 years","Male","Level of education - not stated","Southern","%",""
"Annual employment rate","2022","40 - 44 years","Male","Level of education - not stated","Eastern and Midland","%",""
"Annual employment rate","2022","40 - 44 years","Female","Levels of Education (Levels  0-8)","Ireland","%","78"
"Annual employment rate","2022","40 - 44 years","Female","Levels of Education (Levels  0-8)","Northern and Western","%","83.3"
"Annual employment rate","2022","40 - 44 years","Female","Levels of Education (Levels  0-8)","Southern","%","77.3"
"Annual employment rate","2022","40 - 44 years","Female","Levels of Education (Levels  0-8)","Eastern and Midland","%","76.7"
"Annual employment rate","2022","40 - 44 years","Female","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2022","40 - 44 years","Female","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2022","40 - 44 years","Female","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2022","40 - 44 years","Female","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2022","40 - 44 years","Female","Primary and lower secondary education (Levels 1-2)","Ireland","%",""
"Annual employment rate","2022","40 - 44 years","Female","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
"Annual employment rate","2022","40 - 44 years","Female","Primary and lower secondary education (Levels 1-2)","Southern","%",""
"Annual employment rate","2022","40 - 44 years","Female","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%",""
"Annual employment rate","2022","40 - 44 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","67.8"
"Annual employment rate","2022","40 - 44 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","84.5"
"Annual employment rate","2022","40 - 44 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","67.5"
"Annual employment rate","2022","40 - 44 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","60.6"
"Annual employment rate","2022","40 - 44 years","Female","Tertiary education (Levels 5-8)","Ireland","%","85"
"Annual employment rate","2022","40 - 44 years","Female","Tertiary education (Levels 5-8)","Northern and Western","%","85.9"
"Annual employment rate","2022","40 - 44 years","Female","Tertiary education (Levels 5-8)","Southern","%","85.2"
"Annual employment rate","2022","40 - 44 years","Female","Tertiary education (Levels 5-8)","Eastern and Midland","%","84.6"
"Annual employment rate","2022","40 - 44 years","Female","Level of education - not stated","Ireland","%",""
"Annual employment rate","2022","40 - 44 years","Female","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2022","40 - 44 years","Female","Level of education - not stated","Southern","%",""
"Annual employment rate","2022","40 - 44 years","Female","Level of education - not stated","Eastern and Midland","%",""
"Annual employment rate","2022","45 - 49 years","Both sexes","Levels of Education (Levels  0-8)","Ireland","%","82.7"
"Annual employment rate","2022","45 - 49 years","Both sexes","Levels of Education (Levels  0-8)","Northern and Western","%","80.8"
"Annual employment rate","2022","45 - 49 years","Both sexes","Levels of Education (Levels  0-8)","Southern","%","82.5"
"Annual employment rate","2022","45 - 49 years","Both sexes","Levels of Education (Levels  0-8)","Eastern and Midland","%","83.6"
"Annual employment rate","2022","45 - 49 years","Both sexes","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2022","45 - 49 years","Both sexes","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2022","45 - 49 years","Both sexes","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2022","45 - 49 years","Both sexes","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2022","45 - 49 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Ireland","%","45.6"
"Annual employment rate","2022","45 - 49 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
